sign,date,strength,weakness,nutshell
Aries,March 21 - April 19,Independent Generous Optimistic Enthusiastic Courageous,"Moody 
Short tempered
Self-involved
Impulsive","Aries is the sign of the self, people born under this sign strongly project
their personalities onto others and can be very self-oriented. Aries tend to
venture out into the world and leave impressions on others that they are
exciting, vibrant and talkative. Aries tend to live adventurous lives and like
to be the center of attention, but rightly so since they are natural, confident
leaders. Aries are enthusiastic about their goals and enjoy the thrill of the
hunt, ""wanting is always better then getting"" is a good way to sum it up.
Aries are very impulsive and usually do not think before they act - or speak.
Too often Aries will say whatever pops into their head and usually end up
regretting it later!"
Taurus,April 20 - May 20,"Dependable
Persistent
Loyal
Patient
Generous","Stubborn
Laziness
Possessive
Materialistic
Self-indulging","Taurus is the one who has immense perseverance, even when others have
given up, the Taurus rages on. Solid and persistent, just like the bull. 
Taurus's have a well known reputation for being stubborn, which is not
necessarily a bad thing. The stubborn streak can cause Taurus to butt heads
and conflict with other strong character types. They like the familiar and
routine comfort of life. Taurus is easy going and not one to pick a fight but
should some poor souls attempt to provoke Taurus, the wrath will be
known, for they have a temper underneath the calm surface. Taurus are
very responsive to their surroundings."
Gemini,May 21 - June 20,"Energetic
Clever 
Imaginative
Witty
Adaptable","Superficial
Impulsive
Restless
Devious
Indecisive","Gemini people are many sided, quick both in the mind and physically. 
They are brimming with energy and vitality, they are clever with words. 
They are intelligent and very adaptable to every situation and every person.
Gemini are curious and always want to know what's going on in the world
around them. They are not one to sit back and watch the world go by, they
want to be involved. This can sometimes make Gemini nosy. This is because
they really enjoy communicating, more so then most other astrology signs,
they are the ultimate social butterfly. They have interesting opinions and 
thoughts on things and are not afraid to speak their mind. Routine and
boredom are Gemini's biggest fears."
Cancer,June 21 - July 22,"Loyalty
Dependable
Caring
Adaptable
Responsive","Moody
Clingy
Self-pitying
Oversensitive
Self-absorbed","Cancer is a mysterious sign, filled with contradictions. They want security 
and comfort yet seek new adventure. They are very helpful to others. Cancer 
has a driving, forceful personality that can be easily hidden beneath a calm, 
and cool exterior. They are a have a deep psyche and intuitive mind that is 
hidden from the world. Cancer is deeply sensitive and easily hurt, this might 
be why they have their defense shell in place, to avoids being hurt by others.
They are complex, fragile, unpredictable and temperamental and need 
constant support and encouragement., more then any other astrology signs, 
Cancer needs to be needed. If you befriend a Cancer, you will stay friends 
for a long time."
Leo,July 23 - August 22,"Confident
Ambitious
Generous
Loyal
Encouraging","Pretentious
Domineering
Melodramatic
Stubborn
Vain","Leo is the lion, this well suited symbol represents Leo very well. They 
possess a kingdom which they protest and cherish. Leo is always center 
stage and full of flair, they enjoy basking in the spotlight. Leo are full of 
energy that acts like a magnet for other people. Leo will never settle for 
second best. Public image is very important to Leo. Leos are very generous, 
kind and openhearted people. If a Leo is crossed, they will strike back with 
force but they are not one to hold a grudge, they easily forgive, forget and 
move on. Leos are always trying to make things right in the world. They 
react to situations with action instead of sitting back and thinking about it, 
they are not impulsive however because they look at the future and consider 
consequences of their actions."
Virgo,August 23- September 22,"Analytical
Observant
Helpful
Reliable
Precise","Skeptical
Fussy
Inflexible
Cold
Interfering","Virgo exists in the mind, everything is inside. To the world, Virgo presents a 
calm and collected exterior but on the inside, nervous uncontrolled intensity 
in the mind, trying to figure things out, how to improve everything, analyzing 
and thinking. Virgo can tire itself out without even moving! Virgo has a 
constant drive to improve and perfect, this can lead to extreme pickiness and 
finickiest. They are pure, their motives are honest never malicious and they 
want to accomplish something."
Libra,September 23 - October 22,"Diplomatic
Graceful
Peaceful
Idealistic
Hospitable","Superficial
Vain
Indecisive
Unreliable","Libras are the diplomat of the zodiac. They are able to put themselves in 
other's shoes and see things through another person's point of view. They 
are the ones that always want to make things right and have balance and 
harmony in their life. They have captivating charm, elegant taste and they 
are easy to like due to their eager-to-please, easygoing nature. Libras are 
very intelligent, they often hide this inside their easygoing exterior. They 
express their intelligence through creativity, most are involved in some 
sort of artistic or creative pursuit. Libras love variety and different situations. 
They welcome change and anything upscale and classy. "
Scorpio,October 23 - November 21,"Loyal
Passionate
Resourceful
Observant
Dynamic","Jealous
Obsessive
Suspicious
Manipulative
Unyielding","Scorpio is the astrology sign of extremes and intensity. Scorpios are very deep, 
intense people, there is always more then meets the eye. They present a cool, 
detached and unemotional air to the world yet lying underneath is tremendous 
power, extreme strength, intense passion and a strong will and a persistent 
drive. Scorpios tend to dominate and control anyone that lets them, or anyone 
that they find weak. The person that a Scorpio respects and holds close to them 
is treated with amazing kindness, loyalty and generosity. On the outside, a 
Scorpio has great secretiveness and mystery. This magnetically draws people to 
them. They are known to be controlling and too ambitious but only because 
they need control for this makes them feel safe.
"
Sagittaurus,November 22 - December 21,Independence,Unemotional,"Sagittarius seem to be guided by luck, good things happen to Sagittarius and this 
is usually because of their optimistic outlook and positive disposition which 
attracts good fortune. Despite hardships, Sagittarius is always optimistic that 
good things will happen tomorrow. Sagittarius have a vibrant, expansive 
personality, Sagittarius cannot be contained. They are full of curiosity and they 
always look forward to the future. Sagittarius are detached from emotions 
because emotions hold a person back, they do not like to talk about their feelings.
Sagittarius can be reckless and irresponsible because they will jump at a 
suggestion of something new before they weigh the advantages and disadvantages. "
Capricorn,December 22 – January 19,"responsible
patient
ambitious
resourceful
loyal","dictatorial
inhibited
conceited
distrusting
Unimaginative","Capricorns are very ambitious people, they always have something they are 
pursuing and they want their lives to be fulfilled and important. Capricorns are 
extremely patient and will wait a long time for something they want, when the 
opportunity arises, they will plan their steps carefully to others. Capricorns have 
a very active mind and strong powers of concentration. Capricorns like being in 
control of their surroundings and everyone in their life. Capricorns tend to see 
life in black or white, there are no gray areas for these are areas that are not 
understood and this makes Capricorn feel uncomfortable. They tend to be in 
control in a romantic relationship that way they are never vulnerable to another 
person."
Aquarius,January 20 - February 18,"Witty
Clever
Humanitarian
Inventive
Original","Stubborn
Unemotional
Sarcastic
Rebellious
Aloof","Aquarius is the sign of visionaries, unconventionality and intellectual independence.
Aquarius are the people who deviate from the crowd and go their own way. They 
are always after intellectual stimulation, constantly discovering something new, 
forming new opinions and stubbornly traveling their way regardless of what other 
people think. Aquarius have a 'live and let live' policy where everyone is free to be 
themselves. They are verbally skilled and very witty, they observe people and learn 
how to interact with others through observation. They can be masters of 
manipulation justifying anything they do or think. They welcome change because 
boredom is their enemy. Anything new is an opportunity to Aquarius. Deep inside, 
Aquarius would never intentionally hurt anyone, they have respect for every human."
Pisces,February 19 - March 20,"Compassionate
Adaptable
Accepting
Devoted
Imaginative","Oversensitive
Indecisive
Self-pitying
Lazy
Escapist","Pisces is the sign of mysticism, mystery and the spiritual unknown. Pisces live in two 
worlds, the real world and the spiritual or mystical world where they interpret what 
they see into what they want. They do this to avoid all the realities of pain and 
suffering in the world. They have extremes of emotions and feel both good and bad
intensively. Pisces have formidable intuitive ability. Pisces are very good at understanding 
people for they have the ability to delve into the psyche and see behind a person's
motivations. Pisces are not the pushovers that they may seem, in fact they have strength 
of character and will stand up for what they believe in and and they can do hard work for 
something they believe in. Pisces is the most sensitive of all zodiac signs."
